con1-product,con1-money,con1-dominant_emo,con1-dominant_emo_pos,con1-dominant_emo_neg,con1-text_emo1,con1-text_emo2,con1-text_importance,con1-text_goalsCon,con1-text_pleasant,con1-text_expect,con1-self_control,con1-pleasantness,con1-goal_con,con1-expect,con1-fairness,con1-certainty,con1-coping,con1-goal_relevance,con1-other_account,con1-difficult,con1-self_account,con1-attention,con1-control_circum,con1-future_expect,con1-control_other,con1-effort,con1-problem,con1-norm_external,con1-circum_account,con1-novel,con1-research,con1-recommend,con1-again,con1-anger,con1-joy,con1-disappoint,con1-surprise,con1-pride,con1-gratitude,con1-disgust,con1-regret,con1-satisfied,con1-other_Text_emo,con1-other_emo,con2-product,con2-money,con2-dominant_emo,con2-dominant_emo_pos,con2-dominant_emo_neg,con2-text_emo1,con2-text_emo2,con2-text_importance,con2-text_goalsCon,con2-text_pleasant,con2-text_expect,con2-self_control,con2-pleasantness,con2-goal_con,con2-expect,con2-fairness,con2-certainty,con2-coping,con2-goal_relevance,con2-other_account,con2-difficult,con2-self_account,con2-attention,con2-control_circum,con2-future_expect,con2-control_other,con2-effort,con2-problem,con2-norm_external,con2-circum_account,con2-novel,con2-research,con2-recommend,con2-again,con2-anger,con2-joy,con2-disappoint,con2-surprise,con2-pride,con2-gratitude,con2-disgust,con2-regret,con2-satisfied,con2-other_Text_emo,con2-other_emo,PID1-1,PID1-2,PID1-3,PID1-4,PID1-5,PID1-6,PID1-7,PID1-8,PID1-9,PID2-1,PID2-2,PID2-3,PID2-4,PID2-5,PID2-6,PID2-7,PID2-8,PID2-9,Demo-gender,Demo-gender_5_TEXT,Demo-age,Demo-race,Demo-race_6_TEXT,Demo-ethnicity,Demo-language,Demo-education,Demo-income,prolific_id,PEACE_REVIEW
Oven,1200,Other negative emotion,,lazy,"Now that we have a new oven in the house and I was so excited about buying it, I am expected to cook every night. So, although I don't mind cooking, I do get lazy sometimes and do not put my full effort into it because I get physically tired from all my other household duties. ",I seem to always have the thought of wanting to get a few days away from the oven and either go to a restaurant and have someone wait on me or get someone else to do or help with the cooking around here.,It's important to me because I believe that a family should spend time with each other talking around the dinner table no matter the subject of conversation. ,The oven is exactly what I wanted and it works even better than I had imagined. It has more options than my previous one and it still works perfectly. My prior oven didn't work nearly as well.,The experience of using the oven is very pleasant. It has made cooking and baking so much easier for me. ,It turned out better than expected. It works much better than my prior oven. It has several different options that make it easier to use as well. ,6,6,7,3,5,6,5,5,1,3,6,6,4,6,3,5,5,4,4,4,7,7,7,3,6,2,6,6,6,2,1,6,NA,,Cell phone,300,Disappointment,,,The phone was very slow and it was a headache to use. It would also hangup by itself. It was almost impossible to use and had to be returned. ,"It was a lot of money to spend on a cell phone. When I compared it to cheaper phones, this one worked a lot worse. ",Yes because everyone needs a working cell phone today. To spend that much money on a cell phone and have it sporadically just made my day longer. A good working cell phone is supposed to make life easier. ,No because it did not work correctly and did not live up to the claims of the reviews I read or the price I paid. ,No because I had to return it more than once and I wound up buying a completely different phone for less than half the money that doesn't have all the features I wanted in a cell phone. ,"Unexpected because after reading so many positive reviews and buying from the well known brand, I expected to be much happier and for it to work as described. ",3,1,1,1,1,3,5,3,2,6,1,3,3,4,3,6,3,4,5,4,7,1,1,7,1,7,5,2,2,7,7,1,NA,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Male,,45 - 54 years old,White or Caucasian,,No,English,Bachelor’s degree,"$100,000-$149,999",6315dbda57439d794f865dbd,3
trip to hawaii,20000,Other negative emotion,,none,I felt joy because I've been to Hawaii once before and I really wanted to go back.,Because Hawaii is so beautiful and there is so much to see and do and experience.,Yes because I truly love it there. The scenery is unbelievably beautiful and the weather is perfect 99 percent of the time.,"Yes, because it fulfilled all of my dreams about it. I love it there and would live there if I could afford it.",Yes because I love the food and hanging out at the beach and watching the ocean roll in.,It was expected because I've been there before and was familiar with the things we wanted to see.,6,7,7,2,7,7,7,7,5,2,6,4,6,6,4,3,3,6,4,4,7,7,7,1,7,1,3,6,7,1,1,7,NA,,spending 40 years as a mechanic.,0,Regret,,,I felt proud because of the job I did and how good I was at it. I made a good living.,Because I was skilled at what I did and a dedicated employee.,Yes because It's how I earned a living. It provided me with money to buy a house and car and live a good lifestyle.,Yes for the most part because you have to do something for a living and this is what I chose.,"Yes, sometimes but as time went on I grew to hate my job and driving to it everyday.",Expected because I have done it for a long time and knew what I was doing.,6,2,3,6,5,6,6,4,5,6,5,5,6,2,6,7,6,4,7,1,3,2,1,6,3,3,2,6,6,2,4,4,NA,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Male,,55 - 64 years old,White or Caucasian,,No,english,Associates or technical degree,"$25,000-$49,999",62fbeca46caf4abaaf74b5f1,3
airplane flight,400,Grateful,,,"a flight. I haven't taken the flight yet, but whenever I do I'm always excited and grateful for the trip",It's an experiential purchase as opposed to a physical purchase. That's good to me.,It's important to me because of what it enables me to do.,Yes. I wanted a flight. I got a flight to where I wanted to go,"Well, plane trips are never pleasant unless you're going first class... in which case it's  somewhat better","To be determined, but I've flown enough to know the good, the bad, and the ugly.",6,6,5,4,4,5,5,4,5,6,6,6,6,5,6,6,5,6,6,6,7,7,7,1,7,1,1,6,6,3,2,6,NA,7,food processor ,100,Disappointment,,,It was just not good for what I needed it to be. It was too big. storing it is awful.,"It just isn't exactly what I need, so I was disappointed.","It is somewhat important to me, yes. I need it to make certain things in the kitchen",Yes it was. it just happened to be not quite right for my needs.,No. I was always worried about it not working because I made small things and food processors need a certain ration based on size.,Unexpected because it was too big for my use cases in the kitchen,1,2,5,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,3,1,7,1,1,3,1,6,2,1,3,2,6,1,NA,7,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Female,,25 - 34 years old,White or Caucasian,,No,english,Bachelor’s degree,"$150,000 or more",609e992968b0852fe9e73fed,3
A vacation ,5000,Joy,,,It was a super fun vacation so I felt joyful while I was engaging with it. I had no cares and was spending time with my partner doing fun things.,"Because it was fun and it made all my worries go away
",Yes because it was a much needed break from daily life and it was both fun and relaxing.,Yes because it meant my expectations when I booked the trip. It was just as fun.,Yes because it was fun and it met my expectations.,Expected because everything went as planned and it was super fun like I had hoped it would be.,6,7,7,2,7,7,,7,4,1,5,2,2,7,4,3,3,7,2,6,6,7,7,1,7,1,3,2,4,1,1,7,NA,,Chick FIL a,12,Disgust,,,"The company's awful bigoted views and donations made me feel angry and disgusted about going there.
","Because of my own morals and values. I felt upset about having to support them
","No because I hate the company and don't even like the food. I just went because my coworkers made me
",No because I hate the company and product and didn't want to go.,No because I felt disgusted and angry about supporting the company.,Expected because it's fast food and I knew what I would be getting.,1,2,1,4,2,6,4,1,7,4,3,3,4,4,6,3,4,5,2,2,3,1,1,5,1,7,3,1,1,7,7,1,Guilty,5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Non-binary / third gender,,25 - 34 years old,White or Caucasian,,No,English ,Bachelor’s degree,"$50,000-$74,999",5626a6cfddff3c0011bcd3d8,3
A laptop computer.,300,Other positive emotion,Satisfaction,,"There have been several moments that I have felt satisfied while using this laptop computer of mine, and that is because I am something of an ""internet junkie."" The product's giving me the ability to surf the web for hours and hours can't be overstated as a plus in terms of feeding my hobbies and interests, as well as kind of transfixing me, as bad as it sounds.","I have addressed this in the previous question. I reiterate that I feel satisfied using my laptop computer because I have the ability to dive into my passions, and such.",Yes because it cost a lot of money and enabled me to expand my horizons.,"Yes because it enabled me to do everything I expected to do, or at least close to everything, while using the laptop computer.",Neutral because a laptop computer can be used to bring oneself pleasant and unpleasant experiences.,"Expected because I have owned laptop computers before, and this one certainly lined up with my expectations as far as specs and specifications are concerned.",5,5,6,4,7,6,5,7,4,5,5,7,4,3,4,6,7,7,4,4,7,4,4,4,5,4,4,4,6,4,4,6,There may be an emotion I cannot particularly name at the moment.,4,A haircut.,35,Regret,,,"While receiving the haircut, I felt regret, though not as intensely as I would later feel it upon realizing over the next few days just what the barber had done. This was because the haircut did not match the photograph I showed the barber.",I addressed this in the prior question. The photo I showed the barber contradicted what he did to my hair.,"Yes because I value my physical appearance, and my hair is a crucial component of it.",No because the photo that I showed my barber as a reference photo did not match the haircut that he gave me.,"No because, while there were moments during my receiving of the haircut that were pleasant, the overall environment was judgmental and anxious, and he said some things that did not make me feel comfortable.","Unexpected because, once more, the photo I showed the barber did not match the haircut that he gave me.",2,1,1,7,2,4,2,2,6,7,5,7,4,4,6,7,7,3,4,4,6,1,1,4,1,7,7,1,1,6,7,1,Shame.,7,Strongly agree,Neither agree or disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree or disagree,Strongly agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Male,,18 - 24 years old,White or Caucasian,,Yes,English,"Some college, but no degree","$75,000-$99,999",6329bcdaeb4bf283a62afad0,3
Ring,1000,Grateful,,,I felt grateful and happy because the product was something that I can’t buy very often and it is meaningful to me. ,I was feeling those emotions because it was meaningful to me. ,It was important to me because it reminded me of a simpler life. ,Yes because I knew what I wanted before I went to the store. ,Yes it was a pleasant experience because I was with a loved one. ,Everything turned out to be what I expected because nothing went wrong. ,7,7,7,,7,7,,7,1,1,7,2,2,7,2,1,2,5,1,4,4,7,7,1,7,1,4,5,7,1,1,7,NA,,Bed,500,Disappointment,,,It was not comfortable and it wasn’t as described. ,Because it was not comfortable it made me disappointed. ,Yes because it was something I needed and it didn’t work out. ,No because it was uncomfortable and it was not pleasant to sleep on. ,No because it was uncomfortable and it was not pleasant. ,It was unexpected because of the price that I had paid for it. ,3,1,1,4,3,5,4,4,4,5,4,5,4,3,4,4,7,4,5,4,4,1,1,5,1,5,3,1,1,2,5,1,NA,,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Somewhat agree,Female,,35 - 44 years old,White or Caucasian,,No,English,High school diploma or GED,"$50,000-$74,999",6063a680ba3790e15ab14ba9,3
I bought an expensive ticket to see Taylor Swift in her EROS tour concert in Philadelphia,1500,Other negative emotion,,guilt,"As I entered the concert, I instantly felt a rush of tremendous joy, just to be in this huge stadium, filled with thousands of other jubilant people.  After Covid, this seemed to be a tremendous relief, especially since I could actually see the happiness reflected in all the faces.  Previously, I remembered seeing so much pain, fear and uncertainty in hospitals where people were dying from Covid.  So now, this felt right and good.  However, I have to admit I then experienced a rush of another not so positive emotion...guilt.  I realized the money I spent on my ticket could have helped many people.  It could have paid one month's rent, or went to pay a medical bill, or buy medicine , or buy food.  Fortunately, this guilt didn't last too long.  The sounds of the joy around me drowned out my guilt, and I experienced the fun I knew was mine.  I worked hard for the money I spent on my ticket, so I deserved to spend it however I wanted. I had the best time!","I felt the guilt as a result of empathy that I feel for those who do not have the resources that I have.  However, I realized that I worked very hard and long to get what I have, so the guilt quickly subsided.","Yes because my granddaughter was given enough money to buy one ticket, but her mom wouldn't let her go alone.  So, I was able to buy my ticket and go with her.  The joy my granddaughter felt was priceless!  The guilt came as I did think I could have taught my granddaughter to give away her money to a better cause, but I didn't.  In the end, I was glad we went to see Swift!","Yes because Swift's concert was probably the very best concert my granddaughter will ever remember. Sometimes, you have to go with the memories you can create.  I know she was over the moon with this experience, and I am thrilled that I was part of it!","This concert tour broke a lot of records.  Swift sang about 44 songs, and wore about 30 different outfits.  To  share the joy this brought to so many and be apart of it, was definitely worth it!","Expected because all the reviews were amazing!  Taylor definitely gave her all.  She loves her fans and puts on the best concert. She is young, energetic and she is worth the money!  This was the best show.",1,7,7,,7,7,7,7,,1,,,,,7,,,,,,7,7,7,1,7,1,1,1,1,1,1,7,N/A,,"Attended the play ""Chorus Line""  and didn't like it",200,Disappointment,,,"I did not like anything about the play. Costumes were plain, sets were dull, and I didn't like the story .",It was not joyful. It brought me down.  The entire show was depressing. I do not like to spend money on entertainment and be depressed.,I enjoy going to plays.  Chorus Line had great reviews but it just didn't do anything for me.  I was very disappointed in tis play.,"No because it was very depressing to me.  I did not like the sets, or the costumes or the story line. I ddid not feel it was worth the price of the ticket or the effort to get to the play.",No because I did not enjoy looking at dull sets and plain costumes.  I also did not enjoy the story line at all. the effort it took to buy the ticket and get to the play was not worth what I got out of the play itself.,Unexpected because I did not enjoy anything about this particular play.  It was dull to look at and even the music was not quite what I expected.,1,1,1,,,,1,1,,,1,,6,4,,,,,,,4,1,1,4,3,6,5,1,1,1,1,1,N/A,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Female,,65 years old or older,White or Caucasian,,No,English,Bachelor’s degree,"$75,000-$99,999",5e51c83155087a204d8e7f1f,3
iPad Pro ,950,Regret,,,I felt grateful because it is so nice and helps me be more effecient. I felt guilty because I had an older iPad I could get by with but this one made it so much easier. ,Because I spent a large amount of money in myself when it could hav been used for family items. But everyday when it helps me accomplish things I feel grateful. ,Yes because I was getting frustrated everyday by my old one. It was glitchy and extremely slow. I debated for over a year and finally bought when I had a 50 coupon. ,Yes because I had researched it thoroughly. It had all the bells and whistles I needed.,Yes because it was so lightweight and so fast. It helped me get my work done about 20% faster and is a pleasure to use. ,It turned out better than expected. Once the shock of the cost wore off. I had to go back to my old one while it was being repaired and I was shocked at how much better it was. ,5,7,7,4,5,4,5,6,3,3,4,4,4,5,3,4,6,5,4,2,7,7,7,1,7,1,3,5,7,2,2,7,Guilty. It was a lot of emotion to spend on myself,5,High efficiency washer,750,Disappointment,,,Because it was very expensive and it’s a horrible washer. It stinks. It is high matenance and clothes don’t feel clean when they come out. ,Because it was more expensive than my previous washer and it horrible. And I’m stuck with it and still having to use the stupid thing,I needed it for my family’s clothes but I should have bought an a regular one. It’s not energy effecient if you have to wash clothes twice and it tears up all the time. ,No because I had such high hopes but everything about this was a terrible purchase. I regret it every time I have to use it. ,No because it’s exhausting to just get a load of laundry done. And since it has to be done a couple times a week I’m beginning to hate even looking at this thing. ,"Unexpected because clothes weren’t clean. Washer locks you out, and has a terrible smell. Turns out that’s a known issue and the company doesn’t care. They told me spend 15 minutes cleaning the seals after every load. Ridiculous. ",1,1,1,1,1,1,4,1,6,5,1,6,4,2,5,6,5,4,1,2,4,1,1,1,1,1,6,2,2,7,7,1,NA,,Strongly agree,Somewhat agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Neither agree or disagree,Male,,45 - 54 years old,White or Caucasian,,No,English,High school diploma or GED,"$25,000-$49,999",6278856ed61afb01f6e4d0ac,3
A vacation,1000,Other positive emotion,Relaxed,,"I appreciated the relaxing time to myself, away from work and responsibilities. I didn't have to do any chores or go to work. I just enjoyed the beach and spending some quiet time with my dog.","Because I didn't have any responsibilities. I was comfortable and felt safe, and enjoyed the ocean.",The service was important to me because I worked hard all summer and deserved a break.,"Yes, the service was consistent with what I wanted. I wanted a relaxing trip to the beach and some time to myself to read, swim and sunbathe while enjoying a shore town. I got exactly what I expected and wanted.","It was very pleasant because I got to enjoy nice weather, good food and the sea shore.","Again, everything turned out to be what I expected because the weather was nice, the food was good, I liked my motel accommodations.",6,7,6,3,6,7,7,7,2,2,6,2,2,4,2,3,3,6,2,2,5,6,7,1,6,2,1,5,7,1,1,6,NA,,health treatment,"2,000",Regret,,,"The doctor ripped me off and forced me to purchase uneccessary medications and therapies out of pocket. And in the end, the treatment didn't work. I felt taken advantage of.",Because the doctor took advantage of the little amount of hope that I had.,The service was important to me because it was my only chance to fix a serious health problem with large consequences to my life.,"The service was not consistent with what I wanted at all. The doctor was invasive, condescending and petty. She kept adding things to my bill, which weren't covered by insurance. And in the end, the treatment did not work.","No, it was not pleasant. I felt invaded and treated like a child. I wasn't given the choice to reject certain medications or therapies. It was the doctor's way or no way.","No, the treatment didn't work at all, and put me in debt.",1,1,1,5,1,3,3,1,7,7,1,,7,1,7,7,7,1,5,7,7,1,1,7,1,7,7,1,1,7,7,1,NA,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Female,,35 - 44 years old,White or Caucasian,,No,English,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$25,000-$49,999",5f2d95153c1140074cc81b4c,3
Cricut cutting machine,500,Regret,,,"I had been wanting one for awhile even though I didn't really have the money to buy all the extra supplies needed to make cool stuff or start an Etsy shop. When I bought it, I had just lost my grandmother that I had taken care of for years, had a miscarriage, and was betrayed by a good friend. I think I bought it on impulse to make myself feel better. As soon as it got here, I was like ""what did I do?"" I could've used they money for so many things that need replacing or fixed around the house. I've barely used it since I got it (not from the lack of wanting to, just lack of supplies and motivation), which makes me feel even worse.",I could have used the money to make repairs around the house or buy things I need for the house. ,"Yes, It was important because it was something I had wanted to for a long time and was determined to save up for at some point. I was very interested in it and wanted a new creative outlet. It was also important because it provided a dopamine boost that I desperately needed when I bought it.","Yes, it was what I wanted. It looks and works exactly like the videos and site said it would.","Neutral because although it was fun to FINALLY get to use it, I was filled with regret and guilt for buying it.",Expected because I had watched so many videos about the Cricut machine and knew what to expect. It was a bit unexpected though because it was a tad bit harder to work with the vinyl I bougth than the vinyl others on the videos were using.,6,4,3,6,4,6,5,5,2,4,6,3,1,4,1,4,4,5,1,1,7,7,4,1,4,1,2,3,5,1,6,4,Guilt,7,new septic tank installation,3000,Anger,,,The people who installed it did a shoddy job. They didn't put the tank as far down in the ground as they were supposed to. They knocked a whole support column off the back room of the house. They killed a tree whose roots are now coming up because the tree is falling forward. The roots are causing the septic pipe from my bathroom to be pulled out of the ground which is causing a bad smell in the house. I can't use the big AC unit because for some reason it smells like septic when we turn it on. I'm scared to flush toilet paper or flush too much period because I know the installation was done incorrectly. They won't call me back. I've seen that one guy read my messages and refuses to respond. ,I only had so much money to spend on getting the tank installed. I desperately needed a new one so it was a major must-have purchase. The guys I hired have known me for years but yet they still ripped me off and did a horrible job. I'm now left with no more money to spend (hence the added guilt for buying the cricut machine that I bought before hiring these people) and more problems than I had before.,Yes because the house has been needing a new septic tank for several years now. I couldn't keep living here or even sell it if I hadn't replaced the tank.,No because the job was not done correctly and ended up making more problems than there were before. ,"No because I'm worried every time I use it that something is going to go wrong, I also worry about the tree they killed falling and destroying the back end of the house.",Unexpected because they really seemed like they were going to do a good job. They seemed concerned and willing to help. I thought they had a good reputation. it was also unexpected becuase I hadn't planned on having more problems to deal with.,2,1,1,2,1,4,2,1,7,7,1,6,1,4,7,7,7,2,1,4,6,1,1,7,1,7,7,1,1,7,7,1,NA,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly agree,Somewhat disagree,Somewhat agree,Female,,25 - 34 years old,White or Caucasian,,No,English,Associates or technical degree,"Less than $25,000",55cc7cfb74297e0005235c27,3
Car,"21,000",Other positive emotion,Contentment,,The car worked well and suited my needs. It provided the transportation to work that I needed and allowed my wife to keep our other car at home for her use. That helped me feel that we had the tools we needed for the family.,"Because I no longer had to worry about juggling multiple needs for our other vehicle. With the new car, it helped me feel like we had what was needed. ","Yes, because we needed a second car for my new job and it was very helpful to finally decided to buy it, despite the stress of a new care payment. ","Yes, because it was exactly what we were looking for. ","Yes, because it's always fun to drive a new car. It's a novel new experience and seems new and fresh for the first little while. ",Expected because the car works well and does what I need it to do. It drives well and has not caused any problems so far. ,6,6,6,1,4,7,7,7,2,1,6,3,2,4,2,3,3,6,1,1,5,5,2,1,5,1,1,3,6,1,2,6,NA,,Purchased a lawnmower that broke soon after. ,750,Anger,,,I was using it just a couple of months after purchasing it and it broke. ,Because it had not lasted nearly as long as it should have. ,Neutral because I need a lawnmower but it's not a centrally important part of my life. ,"No, because it was not durable. It worked well enough before it broke, but should've lasted much longer. ","No, I don't fine mowing the lawn pleasant and it was even less so when it broke. ","No, I expected it to last longer. It worked as expected up until that point, but that does not meet expectations. ",2,2,2,4,4,7,7,4,4,5,1,7,4,6,4,6,7,,4,2,3,1,1,5,1,6,6,1,1,3,2,1,NA,,Somewhat agree,Neither agree or disagree,Somewhat disagree,Strongly disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Male,,35 - 44 years old,White or Caucasian,,No,English,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",6333657a797e9a2d19d4efd5,3
Vacation,2000,Joy,,,I booked a vacation for my partner and myself. We had never been able to take a trip like this before and I was able to make it a surprise. Being able to get away and do something that we consider once-in-a-lifetime was very meaningful and brought me huge amounts of joy. It was an incredible way to spend our anniversary and he was beyond happy. ,I was feeling joy because I had managed to pull off the surprise in the first place and also we were in a beautiful place with no other obligations during the trip. We got to travel to different places and take part in amazing excursions that would bring joy to anyone.,"Yes because it was a moment in my relationship that we needed and deserved. We had never taken such a trip together because of life, finances, work, etc. To be able to do something of this magnitude meant a lot to me.",Yes because it was truly breathtaking. It was beyond my expectations and my expectations were very high. I was constantly in awe of how amazing it was and it met and exceeded what I wanted the trip to be.,Yes because it was the best trip I've ever been on. We had amazing food and amazing sights for an entire week and were also able to relax a bit. It was very pleasant and calm while also being adventurous.,"Expected because once I told my partner about the trip, we had planned things very carefully to have a full itinerary. Really nothing went awry on the trip and our excursions happened as scheduled and they were incredible.",5,7,7,2,,,5,,,,7,1,2,,1,,,7,,4,7,7,7,1,7,1,5,6,5,1,1,7,NA,,luxury purse,750,Regret,,,I expressed regret because I was very young and naive when I made the purchase. I wasn't thinking about what I could afford just that I wanted the item.,"I spent money I did not have at the time because I wanted the item and didn't think at all into the future. Each time I used it, I had regrets because I knew I should not have bought it.",No because it was just a bag. I had no attachment to it and I almost immediately regretted buying it. I realized very quickly that I could live without it.,Yes because it was high quality and I love the look and aesthetic of the bag.,No because I had almost immediate regrets over spending the money.,Expected because it was the high quality I thought it would be and it was truly beautiful.,7,2,5,5,,,3,,,5,7,6,,4,,,4,,,,2,4,2,3,2,4,1,3,1,3,7,4,NA,,Strongly agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Female,,35 - 44 years old,Asian,,No,English,Associates or technical degree,"$75,000-$99,999",6298d2708f16a38e439714f1,3
A cruise package,4500,Joy,,,I was happy to go on vacation. I had been saving for quite sometime and I was finally happy that it was happening and I was able to give my family a well deserved vacation.,I enjoyed myself immensely and I was just happy to be on the trip.,Yes. The trip was important to me because it was well deserved and I had waited a long time and was happy it was finally happening.,Yes because my family and I had wanted to go on a trip that involved a cruise for sometime.,Yes because it was what we were expecting and we had a blast.,Expected because we were out on the ocean and got to travel aboard a boat.,7,7,7,4,7,7,7,7,,1,7,1,1,,,1,1,7,,,3,7,7,1,7,1,1,7,7,1,1,7,NA,,Getting my hair colored,300,Disgust,,,"I thought that I was able to get my hair dyed in rainbow colors, however because my hair was too dark, all off the colors came out quite disasterous",I was disappointed my hair did not look like expected.,Yes because people see my hair every day. I wanted it to look good.,No because I wanted my hair to be lighter colored with more pastel flair.,No because the bleach they used on my hair also burned it.,Unexpected because I thought my hair would look more like it did online when I saw it on other people.,5,2,2,1,4,1,3,2,3,5,4,3,4,7,4,5,3,4,4,4,6,2,1,3,1,7,7,1,1,5,7,2,NA,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Male,,25 - 34 years old,White or Caucasian,,No,english,Bachelor’s degree,"$25,000-$49,999",61502f4029bebb130459f0ff,3
PS5,$550 ,Joy,,,"Getting to not only play, but see for the first time next-level games from designers who clearly also took joy in the technology.",I had been looking forward to the experience since it was announced. It had been a long buildup.,"Yes, because I can't get out much (and cannot drive) due to my disability, so this affords me a kind of window into another world.","Yes, because I had played Playstation since the first iteration and this is everything the previous gen was, but clearly capable of more.","Yes because, despite it being new tech, it's still familiar. I kind of know what I'm doing right out of the gate, because it's Playstation.",Unexpected because the drive space was a little inadequate.,7,7,7,5,7,7,4,7,1,3,7,,1,6,1,1,4,7,1,5,6,7,7,1,6,2,6,5,6,1,3,7,NA,,Hotel stay,300,Other negative emotion,,irritation,Couldn't access the rooms we had rented after a long drive. ,The night manager was inaccessible and we were stuck for almost an hour.,Yes because it was very late and we had driven all day in a cramped vehicle. We needed to go to bed.,No because there were so many hitches and hotel stays are supposed to be easy.,"No because when we finally got it, one of the rooms was filthy.",Unexpected because one of the rooms had visible roaches (and hair everywhere).,2,1,1,1,1,1,2,2,7,6,1,6,1,4,1,4,6,,1,5,3,1,1,6,1,1,5,1,1,7,6,1,NA,,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree or disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Strongly agree,Strongly agree,Non-binary / third gender,,45 - 54 years old,White or Caucasian,,No,English,"Some college, but no degree","Less than $25,000",643ac28192af48c396d97709,3
